Period,Value,Series_Name,Frequency,Units,year,month,quarter
198801,1314,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1988,1,1
198712,1320,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,12,4
198711,1223,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,11,4
198710,1198,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,10,4
198709,1274,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,9,3
198708,1369,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,8,3
198707,1354,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,7,3
198706,1385,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,6,2
198705,1272,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,5,2
198704,1255,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,4,2
198703,1113,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,3,1
198702,1150,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,2,1
198701,1099,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1987,1,1
198612,1224,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,12,4
198611,1203,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,11,4
198610,1281,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,10,4
198609,1311,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,9,3
198608,1332,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,8,3
198607,1290,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,7,3
198606,1338,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,6,2
198605,1283,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,5,2
198604,1104,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,4,2
198603,1092,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,3,1
198602,1082,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,2,1
198601,1128,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1986,1,1
198512,1192,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,12,4
198511,1144,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,11,4
198510,1198,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,10,4
198509,1107,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,9,3
198508,1186,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,8,3
198507,1196,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,7,3
198506,1226,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,6,2
198505,1152,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,5,2
198504,1148,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,4,2
198503,1106,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,3,1
198502,1095,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,2,1
198501,1079,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1985,1,1
198412,1205,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,12,4
198411,1181,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,11,4
198410,1078,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,10,4
198409,1169,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,9,3
198408,1228,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,8,3
198407,1158,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,7,3
198406,1180,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,6,2
198405,1130,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,5,2
198404,813,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,4,2
198403,1035,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,3,1
198402,1057,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,2,1
198401,1032,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1984,1,1
198312,923,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,12,4
198311,907,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,11,4
198310,988,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,10,4
198309,1174,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,9,3
198308,1181,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,8,3
198307,1121,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,7,3
198306,1096,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,6,2
198305,1076,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,5,2
198304,1062,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,4,2
198303,894,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,3,1
198302,967,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,2,1
198301,1055,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1983,1,1
198212,1132,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,12,4
198211,1181,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,11,4
198210,1111,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,10,4
198209,1171,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,9,3
198208,1150,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,8,3
198207,1291,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,7,3
198206,1349,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,6,2
198205,1092,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,5,2
198204,1173,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,4,2
198203,1201,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,3,1
198202,1240,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,2,1
198201,1273,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1982,1,1
198112,1314,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,12,4
198111,1375,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,11,4
198110,1337,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,10,4
198109,1293,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,9,3
198108,1374,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,8,3
198107,1289,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,7,3
198106,1281,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,6,2
198105,1140,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,5,2
198104,1286,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,4,2
198103,1399,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,3,1
198102,1459,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,2,1
198101,1470,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",M,Thousand Barrels per Day,1981,1,1
